article_id,published_at,title,text,event_type,is_disruption,split,source_type
N001,2025-01-05,"Dock workers begin strike","Dock workers began an indefinite strike at the Rotterdam terminal, stopping container loading operations.","Port or transport disruption",1,train,synthetic
N002,2025-02-11,"Cargo queues grow at major port","Severe port congestion has delayed electronics shipments by more than nine days.","Port or transport disruption",1,train,synthetic
N003,2025-03-17,"Rail freight service suspended","A national rail strike suspended freight routes serving industrial suppliers.","Port or transport disruption",1,train,synthetic
N004,2025-04-22,"Bridge closure blocks truck traffic","An emergency bridge closure is forcing cargo trucks onto routes that add four days.","Port or transport disruption",1,train,synthetic
N005,2025-05-09,"Container terminal operating at half capacity","Equipment failure reduced terminal capacity and created a growing shipping backlog.","Port or transport disruption",1,train,synthetic
N006,2025-06-14,"Customs action slows border freight","A customs staff walkout is delaying commercial vehicles at the border.","Port or transport disruption",1,validation,synthetic
N007,2025-07-19,"Barge collision closes export channel","Authorities closed the shipping channel after a collision blocked vessel traffic.","Port or transport disruption",1,test,synthetic
N008,2025-08-24,"Airport cargo handlers announce stoppage","A two-day cargo handling stoppage is expected to delay air freight deliveries.","Port or transport disruption",1,test,synthetic
N009,2025-01-08,"Typhoon shuts coastal factories","A severe typhoon forced factories and ports to close across the coastal region.","Extreme weather",1,train,synthetic
N010,2025-02-15,"Flood warning threatens industrial zone","Rising flood water may cut road access to chemical plants for seven days.","Extreme weather",1,train,synthetic
N011,2025-03-20,"Earthquake damages regional roads","An earthquake damaged bridges and interrupted deliveries to manufacturers.","Extreme weather",1,train,synthetic
N012,2025-04-25,"Wildfire forces warehouse evacuation","A fast-moving wildfire caused an emergency evacuation and road closures.","Extreme weather",1,train,synthetic
N013,2025-05-12,"Cyclone disrupts east coast shipping","The cyclone closed ports and suspended coastal cargo movement.","Extreme weather",1,train,synthetic
N014,2025-06-17,"Heatwave limits factory shifts","Extreme heat led factories to reduce operating hours and production capacity.","Extreme weather",1,validation,synthetic
N015,2025-07-22,"Landslide cuts mountain supply route","Heavy rain triggered a landslide that blocked the only road to the supplier.","Extreme weather",1,test,synthetic
N016,2025-08-27,"Drought restricts river cargo loads","Low river levels forced vessels to carry less cargo, increasing delivery times.","Extreme weather",1,test,synthetic
